name,Manufacturer,type,feature.x,value.x,featureAbbr.x,feature.y,value.y,featureAbbr.y
Apple Cinnamon Cheerios,General Mills,Cold,Grams of dietary fiber,1.5,Fiber,Milligrams of potassium,70,Potassium
Apple Cinnamon Cheerios,General Mills,Cold,Grams of dietary fiber,1.5,Fiber,Vitamins and minerals (% of FDA recommendation),25,Vitamins/Minerals
Apple Cinnamon Cheerios,General Mills,Cold,Grams of dietary fiber,1.5,Fiber,Display shelf,1,Shelf
Apple Cinnamon Cheerios,General Mills,Cold,Grams of dietary fiber,1.5,Fiber,Weight in ounces per one serving,1,Ounces
Apple Cinnamon Cheerios,General Mills,Cold,Grams of dietary fiber,1.5,Fiber,Number of cups in one serving,0.75,Cups
Apple Cinnamon Cheerios,General Mills,Cold,Grams of dietary fiber,1.5,Fiber,Rating of cereal,29.509541,**Rating**
Apple Cinnamon Cheerios,General Mills,Cold,Grams of complex carbohydrates,10.5,Carbohydrates,Calories per serving,110,Calories
Apple Cinnamon Cheerios,General Mills,Cold,Grams of complex carbohydrates,10.5,Carbohydrates,Grams of protein,2,Protein
Apple Cinnamon Cheerios,General Mills,Cold,Grams of complex carbohydrates,10.5,Carbohydrates,Grams of fat,2,Fat
Apple Cinnamon Cheerios,General Mills,Cold,Grams of complex carbohydrates,10.5,Carbohydrates,Milligrams of sodium,180,Sodium
Apple Cinnamon Cheerios,General Mills,Cold,Grams of complex carbohydrates,10.5,Carbohydrates,Grams of dietary fiber,1.5,Fiber
Apple Cinnamon Cheerios,General Mills,Cold,Grams of complex carbohydrates,10.5,Carbohydrates,Grams of complex carbohydrates,10.5,Carbohydrates
Apple Cinnamon Cheerios,General Mills,Cold,Grams of complex carbohydrates,10.5,Carbohydrates,Grams of sugars,10,Sugars
Apple Cinnamon Cheerios,General Mills,Cold,Grams of complex carbohydrates,10.5,Carbohydrates,Milligrams of potassium,70,Potassium
Apple Cinnamon Cheerios,General Mills,Cold,Grams of complex carbohydrates,10.5,Carbohydrates,Vitamins and minerals (% of FDA recommendation),25,Vitamins/Minerals
Apple Cinnamon Cheerios,General Mills,Cold,Grams of complex carbohydrates,10.5,Carbohydrates,Display shelf,1,Shelf
Apple Cinnamon Cheerios,General Mills,Cold,Grams of complex carbohydrates,10.5,Carbohydrates,Weight in ounces per one serving,1,Ounces
Apple Cinnamon Cheerios,General Mills,Cold,Grams of complex carbohydrates,10.5,Carbohydrates,Number of cups in one serving,0.75,Cups
Apple Cinnamon Cheerios,General Mills,Cold,Grams of complex carbohydrates,10.5,Carbohydrates,Rating of cereal,29.509541,**Rating**
Apple Cinnamon Cheerios,General Mills,Cold,Grams of sugars,10,Sugars,Calories per serving,110,Calories
Apple Cinnamon Cheerios,General Mills,Cold,Grams of sugars,10,Sugars,Grams of protein,2,Protein
Apple Cinnamon Cheerios,General Mills,Cold,Grams of sugars,10,Sugars,Grams of fat,2,Fat
Apple Cinnamon Cheerios,General Mills,Cold,Grams of sugars,10,Sugars,Milligrams of sodium,180,Sodium
Apple Cinnamon Cheerios,General Mills,Cold,Grams of sugars,10,Sugars,Grams of dietary fiber,1.5,Fiber
Apple Cinnamon Cheerios,General Mills,Cold,Grams of sugars,10,Sugars,Grams of complex carbohydrates,10.5,Carbohydrates
Apple Cinnamon Cheerios,General Mills,Cold,Grams of sugars,10,Sugars,Grams of sugars,10,Sugars
Apple Cinnamon Cheerios,General Mills,Cold,Grams of sugars,10,Sugars,Milligrams of potassium,70,Potassium
Apple Cinnamon Cheerios,General Mills,Cold,Grams of sugars,10,Sugars,Vitamins and minerals (% of FDA recommendation),25,Vitamins/Minerals
Apple Cinnamon Cheerios,General Mills,Cold,Grams of sugars,10,Sugars,Display shelf,1,Shelf
Apple Cinnamon Cheerios,General Mills,Cold,Grams of sugars,10,Sugars,Weight in ounces per one serving,1,Ounces
Apple Cinnamon Cheerios,General Mills,Cold,Grams of sugars,10,Sugars,Number of cups in one serving,0.75,Cups
Apple Cinnamon Cheerios,General Mills,Cold,Grams of sugars,10,Sugars,Rating of cereal,29.509541,**Rating**
Apple Cinnamon Cheerios,General Mills,Cold,Milligrams of potassium,70,Potassium,Calories per serving,110,Calories
Apple Cinnamon Cheerios,General Mills,Cold,Milligrams of potassium,70,Potassium,Grams of protein,2,Protein
Apple Cinnamon Cheerios,General Mills,Cold,Milligrams of potassium,70,Potassium,Grams of fat,2,Fat
Apple Cinnamon Cheerios,General Mills,Cold,Milligrams of potassium,70,Potassium,Milligrams of sodium,180,Sodium
Apple Cinnamon Cheerios,General Mills,Cold,Milligrams of potassium,70,Potassium,Grams of dietary fiber,1.5,Fiber
Apple Cinnamon Cheerios,General Mills,Cold,Milligrams of potassium,70,Potassium,Grams of complex carbohydrates,10.5,Carbohydrates
Apple Cinnamon Cheerios,General Mills,Cold,Milligrams of potassium,70,Potassium,Grams of sugars,10,Sugars
Apple Cinnamon Cheerios,General Mills,Cold,Milligrams of potassium,70,Potassium,Milligrams of potassium,70,Potassium
Apple Cinnamon Cheerios,General Mills,Cold,Milligrams of potassium,70,Potassium,Vitamins and minerals (% of FDA recommendation),25,Vitamins/Minerals
Apple Cinnamon Cheerios,General Mills,Cold,Milligrams of potassium,70,Potassium,Display shelf,1,Shelf
Apple Cinnamon Cheerios,General Mills,Cold,Milligrams of potassium,70,Potassium,Weight in ounces per one serving,1,Ounces
Apple Cinnamon Cheerios,General Mills,Cold,Milligrams of potassium,70,Potassium,Number of cups in one serving,0.75,Cups
Apple Cinnamon Cheerios,General Mills,Cold,Milligrams of potassium,70,Potassium,Rating of cereal,29.509541,**Rating**
Apple Cinnamon Cheerios,General Mills,Cold,Vitamins and minerals (% of FDA recommendation),25,Vitamins/Minerals,Calories per serving,110,Calories
Apple Cinnamon Cheerios,General Mills,Cold,Vitamins and minerals (% of FDA recommendation),25,Vitamins/Minerals,Grams of protein,2,Protein
Apple Cinnamon Cheerios,General Mills,Cold,Vitamins and minerals (% of FDA recommendation),25,Vitamins/Minerals,Grams of fat,2,Fat
Apple Cinnamon Cheerios,General Mills,Cold,Vitamins and minerals (% of FDA recommendation),25,Vitamins/Minerals,Milligrams of sodium,180,Sodium
Apple Cinnamon Cheerios,General Mills,Cold,Vitamins and minerals (% of FDA recommendation),25,Vitamins/Minerals,Grams of dietary fiber,1.5,Fiber
Apple Cinnamon Cheerios,General Mills,Cold,Vitamins and minerals (% of FDA recommendation),25,Vitamins/Minerals,Grams of complex carbohydrates,10.5,Carbohydrates
Apple Cinnamon Cheerios,General Mills,Cold,Vitamins and minerals (% of FDA recommendation),25,Vitamins/Minerals,Grams of sugars,10,Sugars
Apple Cinnamon Cheerios,General Mills,Cold,Vitamins and minerals (% of FDA recommendation),25,Vitamins/Minerals,Milligrams of potassium,70,Potassium
Apple Cinnamon Cheerios,General Mills,Cold,Vitamins and minerals (% of FDA recommendation),25,Vitamins/Minerals,Vitamins and minerals (% of FDA recommendation),25,Vitamins/Minerals
Apple Cinnamon Cheerios,General Mills,Cold,Vitamins and minerals (% of FDA recommendation),25,Vitamins/Minerals,Display shelf,1,Shelf
Apple Cinnamon Cheerios,General Mills,Cold,Vitamins and minerals (% of FDA recommendation),25,Vitamins/Minerals,Weight in ounces per one serving,1,Ounces
Apple Cinnamon Cheerios,General Mills,Cold,Vitamins and minerals (% of FDA recommendation),25,Vitamins/Minerals,Number of cups in one serving,0.75,Cups
Apple Cinnamon Cheerios,General Mills,Cold,Vitamins and minerals (% of FDA recommendation),25,Vitamins/Minerals,Rating of cereal,29.509541,**Rating**
Apple Cinnamon Cheerios,General Mills,Cold,Display shelf,1,Shelf,Calories per serving,110,Calories
Apple Cinnamon Cheerios,General Mills,Cold,Display shelf,1,Shelf,Grams of protein,2,Protein
Apple Cinnamon Cheerios,General Mills,Cold,Display shelf,1,Shelf,Grams of fat,2,Fat
Apple Cinnamon Cheerios,General Mills,Cold,Display shelf,1,Shelf,Milligrams of sodium,180,Sodium
Apple Cinnamon Cheerios,General Mills,Cold,Display shelf,1,Shelf,Grams of dietary fiber,1.5,Fiber
Apple Cinnamon Cheerios,General Mills,Cold,Display shelf,1,Shelf,Grams of complex carbohydrates,10.5,Carbohydrates
Apple Cinnamon Cheerios,General Mills,Cold,Display shelf,1,Shelf,Grams of sugars,10,Sugars
Apple Cinnamon Cheerios,General Mills,Cold,Display shelf,1,Shelf,Milligrams of potassium,70,Potassium
Apple Cinnamon Cheerios,General Mills,Cold,Display shelf,1,Shelf,Vitamins and minerals (% of FDA recommendation),25,Vitamins/Minerals
Apple Cinnamon Cheerios,General Mills,Cold,Display shelf,1,Shelf,Display shelf,1,Shelf
Apple Cinnamon Cheerios,General Mills,Cold,Display shelf,1,Shelf,Weight in ounces per one serving,1,Ounces
Apple Cinnamon Cheerios,General Mills,Cold,Display shelf,1,Shelf,Number of cups in one serving,0.75,Cups
Apple Cinnamon Cheerios,General Mills,Cold,Display shelf,1,Shelf,Rating of cereal,29.509541,**Rating**
Apple Cinnamon Cheerios,General Mills,Cold,Weight in ounces per one serving,1,Ounces,Calories per serving,110,Calories
Apple Cinnamon Cheerios,General Mills,Cold,Weight in ounces per one serving,1,Ounces,Grams of protein,2,Protein
Apple Cinnamon Cheerios,General Mills,Cold,Weight in ounces per one serving,1,Ounces,Grams of fat,2,Fat
Apple Cinnamon Cheerios,General Mills,Cold,Weight in ounces per one serving,1,Ounces,Milligrams of sodium,180,Sodium
Apple Cinnamon Cheerios,General Mills,Cold,Weight in ounces per one serving,1,Ounces,Grams of dietary fiber,1.5,Fiber
Apple Cinnamon Cheerios,General Mills,Cold,Weight in ounces per one serving,1,Ounces,Grams of complex carbohydrates,10.5,Carbohydrates
Apple Cinnamon Cheerios,General Mills,Cold,Weight in ounces per one serving,1,Ounces,Grams of sugars,10,Sugars
Apple Cinnamon Cheerios,General Mills,Cold,Weight in ounces per one serving,1,Ounces,Milligrams of potassium,70,Potassium
Apple Cinnamon Cheerios,General Mills,Cold,Weight in ounces per one serving,1,Ounces,Vitamins and minerals (% of FDA recommendation),25,Vitamins/Minerals
Apple Cinnamon Cheerios,General Mills,Cold,Weight in ounces per one serving,1,Ounces,Display shelf,1,Shelf
Apple Cinnamon Cheerios,General Mills,Cold,Weight in ounces per one serving,1,Ounces,Weight in ounces per one serving,1,Ounces
Apple Cinnamon Cheerios,General Mills,Cold,Weight in ounces per one serving,1,Ounces,Number of cups in one serving,0.75,Cups
Apple Cinnamon Cheerios,General Mills,Cold,Weight in ounces per one serving,1,Ounces,Rating of cereal,29.509541,**Rating**
Apple Cinnamon Cheerios,General Mills,Cold,Number of cups in one serving,0.75,Cups,Calories per serving,110,Calories
Apple Cinnamon Cheerios,General Mills,Cold,Number of cups in one serving,0.75,Cups,Grams of protein,2,Protein
Apple Cinnamon Cheerios,General Mills,Cold,Number of cups in one serving,0.75,Cups,Grams of fat,2,Fat
Apple Cinnamon Cheerios,General Mills,Cold,Number of cups in one serving,0.75,Cups,Milligrams of sodium,180,Sodium
Apple Cinnamon Cheerios,General Mills,Cold,Number of cups in one serving,0.75,Cups,Grams of dietary fiber,1.5,Fiber
Apple Cinnamon Cheerios,General Mills,Cold,Number of cups in one serving,0.75,Cups,Grams of complex carbohydrates,10.5,Carbohydrates
Apple Cinnamon Cheerios,General Mills,Cold,Number of cups in one serving,0.75,Cups,Grams of sugars,10,Sugars
Apple Cinnamon Cheerios,General Mills,Cold,Number of cups in one serving,0.75,Cups,Milligrams of potassium,70,Potassium
Apple Cinnamon Cheerios,General Mills,Cold,Number of cups in one serving,0.75,Cups,Vitamins and minerals (% of FDA recommendation),25,Vitamins/Minerals
Apple Cinnamon Cheerios,General Mills,Cold,Number of cups in one serving,0.75,Cups,Display shelf,1,Shelf
Apple Cinnamon Cheerios,General Mills,Cold,Number of cups in one serving,0.75,Cups,Weight in ounces per one serving,1,Ounces
Apple Cinnamon Cheerios,General Mills,Cold,Number of cups in one serving,0.75,Cups,Number of cups in one serving,0.75,Cups
Apple Cinnamon Cheerios,General Mills,Cold,Number of cups in one serving,0.75,Cups,Rating of cereal,29.509541,**Rating**
Apple Cinnamon Cheerios,General Mills,Cold,Rating of cereal,29.509541,**Rating**,Calories per serving,110,Calories
Apple Cinnamon Cheerios,General Mills,Cold,Rating of cereal,29.509541,**Rating**,Grams of protein,2,Protein
Apple Cinnamon Cheerios,General Mills,Cold,Rating of cereal,29.509541,**Rating**,Grams of fat,2,Fat
Apple Cinnamon Cheerios,General Mills,Cold,Rating of cereal,29.509541,**Rating**,Milligrams of sodium,180,Sodium
Apple Cinnamon Cheerios,General Mills,Cold,Rating of cereal,29.509541,**Rating**,Grams of dietary fiber,1.5,Fiber
Apple Cinnamon Cheerios,General Mills,Cold,Rating of cereal,29.509541,**Rating**,Grams of complex carbohydrates,10.5,Carbohydrates
Apple Cinnamon Cheerios,General Mills,Cold,Rating of cereal,29.509541,**Rating**,Grams of sugars,10,Sugars
Apple Cinnamon Cheerios,General Mills,Cold,Rating of cereal,29.509541,**Rating**,Milligrams of potassium,70,Potassium
Apple Cinnamon Cheerios,General Mills,Cold,Rating of cereal,29.509541,**Rating**,Vitamins and minerals (% of FDA recommendation),25,Vitamins/Minerals
Apple Cinnamon Cheerios,General Mills,Cold,Rating of cereal,29.509541,**Rating**,Display shelf,1,Shelf
Apple Cinnamon Cheerios,General Mills,Cold,Rating of cereal,29.509541,**Rating**,Weight in ounces per one serving,1,Ounces
Apple Cinnamon Cheerios,General Mills,Cold,Rating of cereal,29.509541,**Rating**,Number of cups in one serving,0.75,Cups
Apple Cinnamon Cheerios,General Mills,Cold,Rating of cereal,29.509541,**Rating**,Rating of cereal,29.509541,**Rating**
Basic 4,General Mills,Cold,Calories per serving,130,Calories,Calories per serving,130,Calories
Basic 4,General Mills,Cold,Calories per serving,130,Calories,Grams of protein,3,Protein
Basic 4,General Mills,Cold,Calories per serving,130,Calories,Grams of fat,2,Fat
Basic 4,General Mills,Cold,Calories per serving,130,Calories,Milligrams of sodium,210,Sodium
Basic 4,General Mills,Cold,Calories per serving,130,Calories,Grams of dietary fiber,2,Fiber
Basic 4,General Mills,Cold,Calories per serving,130,Calories,Grams of complex carbohydrates,18,Carbohydrates
Basic 4,General Mills,Cold,Calories per serving,130,Calories,Grams of sugars,8,Sugars
Basic 4,General Mills,Cold,Calories per serving,130,Calories,Milligrams of potassium,100,Potassium
Basic 4,General Mills,Cold,Calories per serving,130,Calories,Vitamins and minerals (% of FDA recommendation),25,Vitamins/Minerals
Basic 4,General Mills,Cold,Calories per serving,130,Calories,Display shelf,3,Shelf
Basic 4,General Mills,Cold,Calories per serving,130,Calories,Weight in ounces per one serving,1.33,Ounces
Basic 4,General Mills,Cold,Calories per serving,130,Calories,Number of cups in one serving,0.75,Cups
Basic 4,General Mills,Cold,Calories per serving,130,Calories,Rating of cereal,37.038562,**Rating**
Basic 4,General Mills,Cold,Grams of protein,3,Protein,Calories per serving,130,Calories
Basic 4,General Mills,Cold,Grams of protein,3,Protein,Grams of protein,3,Protein
Basic 4,General Mills,Cold,Grams of protein,3,Protein,Grams of fat,2,Fat
Basic 4,General Mills,Cold,Grams of protein,3,Protein,Milligrams of sodium,210,Sodium
Basic 4,General Mills,Cold,Grams of protein,3,Protein,Grams of dietary fiber,2,Fiber
Basic 4,General Mills,Cold,Grams of protein,3,Protein,Grams of complex carbohydrates,18,Carbohydrates
Basic 4,General Mills,Cold,Grams of protein,3,Protein,Grams of sugars,8,Sugars
Basic 4,General Mills,Cold,Grams of protein,3,Protein,Milligrams of potassium,100,Potassium
Basic 4,General Mills,Cold,Grams of protein,3,Protein,Vitamins and minerals (% of FDA recommendation),25,Vitamins/Minerals
Basic 4,General Mills,Cold,Grams of protein,3,Protein,Display shelf,3,Shelf
Basic 4,General Mills,Cold,Grams of protein,3,Protein,Weight in ounces per one serving,1.33,Ounces
Basic 4,General Mills,Cold,Grams of protein,3,Protein,Number of cups in one serving,0.75,Cups
Basic 4,General Mills,Cold,Grams of protein,3,Protein,Rating of cereal,37.038562,**Rating**
Basic 4,General Mills,Cold,Grams of fat,2,Fat,Calories per serving,130,Calories
Basic 4,General Mills,Cold,Grams of fat,2,Fat,Grams of protein,3,Protein
Basic 4,General Mills,Cold,Grams of fat,2,Fat,Grams of fat,2,Fat
Basic 4,General Mills,Cold,Grams of fat,2,Fat,Milligrams of sodium,210,Sodium
Basic 4,General Mills,Cold,Grams of fat,2,Fat,Grams of dietary fiber,2,Fiber
Basic 4,General Mills,Cold,Grams of fat,2,Fat,Grams of complex carbohydrates,18,Carbohydrates
Basic 4,General Mills,Cold,Grams of fat,2,Fat,Grams of sugars,8,Sugars
Basic 4,General Mills,Cold,Grams of fat,2,Fat,Milligrams of potassium,100,Potassium
Basic 4,General Mills,Cold,Grams of fat,2,Fat,Vitamins and minerals (% of FDA recommendation),25,Vitamins/Minerals
Basic 4,General Mills,Cold,Grams of fat,2,Fat,Display shelf,3,Shelf
Basic 4,General Mills,Cold,Grams of fat,2,Fat,Weight in ounces per one serving,1.33,Ounces
Basic 4,General Mills,Cold,Grams of fat,2,Fat,Number of cups in one serving,0.75,Cups
Basic 4,General Mills,Cold,Grams of fat,2,Fat,Rating of cereal,37.038562,**Rating**
Basic 4,General Mills,Cold,Milligrams of sodium,210,Sodium,Calories per serving,130,Calories
Basic 4,General Mills,Cold,Milligrams of sodium,210,Sodium,Grams of protein,3,Protein
Basic 4,General Mills,Cold,Milligrams of sodium,210,Sodium,Grams of fat,2,Fat
Basic 4,General Mills,Cold,Milligrams of sodium,210,Sodium,Milligrams of sodium,210,Sodium
Basic 4,General Mills,Cold,Milligrams of sodium,210,Sodium,Grams of dietary fiber,2,Fiber
Basic 4,General Mills,Cold,Milligrams of sodium,210,Sodium,Grams of complex carbohydrates,18,Carbohydrates
Basic 4,General Mills,Cold,Milligrams of sodium,210,Sodium,Grams of sugars,8,Sugars
Basic 4,General Mills,Cold,Milligrams of sodium,210,Sodium,Milligrams of potassium,100,Potassium
Basic 4,General Mills,Cold,Milligrams of sodium,210,Sodium,Vitamins and minerals (% of FDA recommendation),25,Vitamins/Minerals
Basic 4,General Mills,Cold,Milligrams of sodium,210,Sodium,Display shelf,3,Shelf
Basic 4,General Mills,Cold,Milligrams of sodium,210,Sodium,Weight in ounces per one serving,1.33,Ounces
Basic 4,General Mills,Cold,Milligrams of sodium,210,Sodium,Number of cups in one serving,0.75,Cups
Basic 4,General Mills,Cold,Milligrams of sodium,210,Sodium,Rating of cereal,37.038562,**Rating**
Basic 4,General Mills,Cold,Grams of dietary fiber,2,Fiber,Calories per serving,130,Calories
Basic 4,General Mills,Cold,Grams of dietary fiber,2,Fiber,Grams of protein,3,Protein
Basic 4,General Mills,Cold,Grams of dietary fiber,2,Fiber,Grams of fat,2,Fat
Basic 4,General Mills,Cold,Grams of dietary fiber,2,Fiber,Milligrams of sodium,210,Sodium
Basic 4,General Mills,Cold,Grams of dietary fiber,2,Fiber,Grams of dietary fiber,2,Fiber
Basic 4,General Mills,Cold,Grams of dietary fiber,2,Fiber,Grams of complex carbohydrates,18,Carbohydrates
Basic 4,General Mills,Cold,Grams of dietary fiber,2,Fiber,Grams of sugars,8,Sugars
Basic 4,General Mills,Cold,Grams of dietary fiber,2,Fiber,Milligrams of potassium,100,Potassium
Basic 4,General Mills,Cold,Grams of dietary fiber,2,Fiber,Vitamins and minerals (% of FDA recommendation),25,Vitamins/Minerals
Basic 4,General Mills,Cold,Grams of dietary fiber,2,Fiber,Display shelf,3,Shelf
Basic 4,General Mills,Cold,Grams of dietary fiber,2,Fiber,Weight in ounces per one serving,1.33,Ounces
Basic 4,General Mills,Cold,Grams of dietary fiber,2,Fiber,Number of cups in one serving,0.75,Cups
Basic 4,General Mills,Cold,Grams of dietary fiber,2,Fiber,Rating of cereal,37.038562,**Rating**
Basic 4,General Mills,Cold,Grams of complex carbohydrates,18,Carbohydrates,Calories per serving,130,Calories
Basic 4,General Mills,Cold,Grams of complex carbohydrates,18,Carbohydrates,Grams of protein,3,Protein
Basic 4,General Mills,Cold,Grams of complex carbohydrates,18,Carbohydrates,Grams of fat,2,Fat
Basic 4,General Mills,Cold,Grams of complex carbohydrates,18,Carbohydrates,Milligrams of sodium,210,Sodium
Basic 4,General Mills,Cold,Grams of complex carbohydrates,18,Carbohydrates,Grams of dietary fiber,2,Fiber
Basic 4,General Mills,Cold,Grams of complex carbohydrates,18,Carbohydrates,Grams of complex carbohydrates,18,Carbohydrates
Basic 4,General Mills,Cold,Grams of complex carbohydrates,18,Carbohydrates,Grams of sugars,8,Sugars
Basic 4,General Mills,Cold,Grams of complex carbohydrates,18,Carbohydrates,Milligrams of potassium,100,Potassium
Basic 4,General Mills,Cold,Grams of complex carbohydrates,18,Carbohydrates,Vitamins and minerals (% of FDA recommendation),25,Vitamins/Minerals
Basic 4,General Mills,Cold,Grams of complex carbohydrates,18,Carbohydrates,Display shelf,3,Shelf
Basic 4,General Mills,Cold,Grams of complex carbohydrates,18,Carbohydrates,Weight in ounces per one serving,1.33,Ounces
